UNDERSAMPLE_RATIO,ROC_RATIO,ratioAAE,ratioSAE,biasDiff,performance,support,overallAccuracy
0.0,0.5,"[[0.127], [0.43], [0.443]]","[[0.063], [0.342], [0.595]]","[[0.064], [0.08799999999999997], [-0.15199999999999997]]","[[0.38, 0.51, 0.44], [0.9, 0.81, 0.85], [0.72, 0.83, 0.77]]","[152, 1172, 400]",0.79
0.1,0.5,"[[0.121], [0.441], [0.438]]","[[0.065], [0.334], [0.601]]","[[0.055999999999999994], [0.10699999999999998], [-0.16299999999999998]]","[[0.39, 0.54, 0.45], [0.9, 0.82, 0.86], [0.69, 0.81, 0.74]]","[142, 1246, 411]",0.79
0.2,0.5,"[[0.113], [0.474], [0.413]]","[[0.072], [0.349], [0.579]]","[[0.04100000000000001], [0.125], [-0.16599999999999998]]","[[0.37, 0.53, 0.43], [0.92, 0.82, 0.87], [0.72, 0.87, 0.79]]","[114, 1318, 443]",0.82
0.3,0.5,"[[0.095], [0.49], [0.415]]","[[0.061], [0.367], [0.572]]","[[0.034], [0.123], [-0.15699999999999997]]","[[0.31, 0.39, 0.34], [0.9, 0.83, 0.86], [0.72, 0.83, 0.77]]","[153, 1362, 435]",0.80
0.4,0.5,"[[0.097], [0.518], [0.385]]","[[0.06], [0.373], [0.567]]","[[0.037000000000000005], [0.14500000000000002], [-0.18199999999999994]]","[[0.35, 0.37, 0.36], [0.9, 0.84, 0.87], [0.67, 0.83, 0.74]]","[164, 1464, 398]",0.80
0.5,0.5,"[[0.101], [0.509], [0.39]]","[[0.063], [0.374], [0.563]]","[[0.038000000000000006], [0.135], [-0.17299999999999993]]","[[0.39, 0.45, 0.41], [0.91, 0.86, 0.88], [0.69, 0.8, 0.74]]","[164, 1515, 422]",0.81
0.6,0.5,"[[0.074], [0.567], [0.359]]","[[0.049], [0.395], [0.556]]","[[0.024999999999999994], [0.17199999999999993], [-0.19700000000000006]]","[[0.38, 0.43, 0.41], [0.92, 0.87, 0.89], [0.69, 0.83, 0.75]]","[146, 1612, 419]",0.83
0.7,0.5,"[[0.075], [0.581], [0.344]]","[[0.06], [0.4], [0.54]]","[[0.015], [0.18099999999999994], [-0.19600000000000006]]","[[0.38, 0.52, 0.44], [0.93, 0.85, 0.89], [0.69, 0.82, 0.75]]","[144, 1684, 424]",0.83
0.8,0.5,"[[0.063], [0.601], [0.336]]","[[0.051], [0.394], [0.555]]","[[0.012000000000000004], [0.20699999999999996], [-0.21900000000000003]]","[[0.34, 0.42, 0.38], [0.93, 0.88, 0.9], [0.68, 0.8, 0.74]]","[140, 1784, 404]",0.83
0.9,0.5,"[[0.077], [0.595], [0.328]]","[[0.061], [0.401], [0.538]]","[[0.016], [0.19399999999999995], [-0.21000000000000002]]","[[0.35, 0.44, 0.39], [0.93, 0.87, 0.9], [0.67, 0.82, 0.74]]","[144, 1849, 410]",0.83
